Brand Name,Brand,Garment Type,Price Point,Made in USA,Vibe,Notes,URL Raw,URL
Allen Edmonds,Allen Edmonds,Belts,$$,All,Formal,,https://www.allenedmonds.com/home?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDE6X0I-M1BU6uXPCQovb_CLXv7VfO_V9i8QDh2tldUchupGbO3l5YaAq36EALw_wcB&partnerid=cpc_google_gbrandinregioncore,https://www.allenedmonds.com/home?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDE6X0I-M1BU6uXPCQovb_CLXv7VfO_V9i8QDh2tldUchupGbO3l5YaAq36EALw_wcB&partnerid=cpc_google_gbrandinregioncore
Carson Footwear,Carson Footwear,Shoes,$$,All,Athletic,Trail Running,https://www.carsonfootwear.com/,https://www.carsonfootwear.com/
New Balance,New Balance,Shoes,$$,Few,Athletic,Tennis/athletic,https://www.newbalance.com/made-in-us-and-uk/?ecid=ps_google_new%20balance%20made%20in%20usa_e_621649424_6067&gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDSGh9-dmmkOW3y8GFitoX_GFp6jz6DgzulB4gPxi04DqSQyFPcj_AaAuiWEALw_wcB&gclsrc=aw.ds,https://www.newbalance.com/made-in-us-and-uk/?ecid=ps_google_new%20balance%20made%20in%20usa_e_621649424_6067&gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDSGh9-dmmkOW3y8GFitoX_GFp6jz6DgzulB4gPxi04DqSQyFPcj_AaAuiWEALw_wcB&gclsrc=aw.ds
New Balance,New Balance,Athletic Wear,$$$,Few,Athletic,,https://www.newbalance.com/made-in-us-and-uk/?ecid=ps_google_new%20balance%20made%20in%20usa_e_621649424_6067&gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDSGh9-dmmkOW3y8GFitoX_GFp6jz6DgzulB4gPxi04DqSQyFPcj_AaAuiWEALw_wcB&gclsrc=aw.ds,https://www.newbalance.com/made-in-us-and-uk/?ecid=ps_google_new%20balance%20made%20in%20usa_e_621649424_6067&gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDSGh9-dmmkOW3y8GFitoX_GFp6jz6DgzulB4gPxi04DqSQyFPcj_AaAuiWEALw_wcB&gclsrc=aw.ds
Oak Street Bootmakers,Oak Street Bootmakers,Shoes,$$$$,All,Casual,Dress options,https://oakstreetbootmakers.com/,https://oakstreetbootmakers.com/
Oak Street Bootmakers,Oak Street Bootmakers,Belts,$$,All,Casual,,https://oakstreetbootmakers.com/,https://oakstreetbootmakers.com/
Rancourt & Company,Rancourt & Company,Shoes,$$$,All,Formal,Loafers and sneakers,https://www.rancourtandcompany.com/men-s.html?limit=all,https://www.rancourtandcompany.com/men-s.html?limit=all
Rancourt & Company,Rancourt & Company,Belts,$$,All,Casual,,https://www.rancourtandcompany.com/men-s.html?limit=all,https://www.rancourtandcompany.com/men-s.html?limit=all
Softstar,Softstar,Shoes,$$,All,Casual,Minimalist,https://www.softstarshoes.com/,https://www.softstarshoes.com/
Dapper Classics,Dapper Classics,Socks,$,All,Formal,,https://www.dapperclassics.com/,https://www.dapperclassics.com/
Dapper Classics,Dapper Classics,Belts,$,All,Formal,,https://www.dapperclassics.com/,https://www.dapperclassics.com/
Zkano,Zkano,Socks,$,All,Casual,,https://zkano.com/,https://zkano.com/
All American Clothing Company,All American Clothing Company,T-Shirts,$,All,Casual,Not Stylish,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Polos,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Sport Shirts,$,All,Casual,Flannel Shirts,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Golf Shirts,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Sweatshirts,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Jeans/Denim,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
All American Clothing Company,All American Clothing Company,Athletic Wear,$,All,Casual,,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB,https://www.allamericanclothing.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDDyO4NqPlQdzqgVWEiO3EDP-dKWN1lM2eyE9luVsD9UXpvAq1uW2saAnS5EALw_wcB
